year,month,day,actioncountry,language,eventid,numarticles
2019,12,13,,tam,892650938,1
2019,12,13,,tam,892651955,1
2019,12,13,,tam,892658655,2
2019,12,13,,tam,892661360,1
2019,12,13,,tam,892706699,2
2019,12,13,,tam,892706931,2
2019,12,13,,tam,892709143,2
2019,12,13,,tam,892717226,2
2019,12,13,,tam,892721533,2
2019,12,13,,tam,892727011,1
2019,12,13,,tam,892737665,2
2019,12,13,,tam,892763126,2
2019,12,13,,tam,892763128,4
2019,12,13,,tam,892774510,2
2019,12,13,,tam,892786990,2
2019,12,13,,tam,892787509,2
2019,12,13,,tam,892881776,2
2019,12,12,HK,urd,892599302,2
2019,12,7,FR,lav,891378784,1
2019,12,7,FR,lav,891395617,2
2019,12,7,FR,lav,891397996,2
2019,12,7,FR,lav,891422085,1
2019,12,7,FR,lav,891452197,4
2019,12,7,FR,lav,891452208,4
2019,12,7,FR,lav,891465786,2
2019,12,7,FR,lav,891465795,2
2019,12,7,FR,lav,891471298,2
2019,12,24,JE,eng,894811402,4
2019,12,24,JE,eng,894811424,1
2019,12,24,JE,eng,894811433,3
2019,12,24,JE,eng,894811436,3
2019,12,24,JE,eng,894812703,4
2019,12,24,JE,eng,894812721,1
2019,12,24,JE,eng,894812833,1
2019,12,24,JE,eng,894815887,1
2019,12,24,JE,eng,894816821,1
2019,12,24,JE,eng,894817097,1
2019,12,24,JE,eng,894820613,1
2019,12,24,JE,eng,894821085,1
2019,12,24,JE,eng,894821743,1
2019,12,24,JE,eng,894823646,1
2019,12,24,JE,eng,894823964,1
2019,12,24,JE,eng,894824038,1
2019,12,24,JE,eng,894824041,1
2019,12,24,JE,eng,894824578,6
2019,12,24,JE,eng,894824786,4
2019,12,24,JE,eng,894824788,4
2019,12,24,JE,eng,894827595,2
2019,12,24,JE,eng,894828153,3
2019,12,24,JE,eng,894835524,3
2019,12,24,JE,eng,894839204,1
2019,12,24,JE,eng,894839294,6
2019,12,24,JE,eng,894839445,1
2019,12,24,JE,eng,894839670,1
2019,12,24,JE,eng,894839677,1
2019,12,24,JE,eng,894839892,1
2019,12,24,JE,eng,894840057,1
2019,12,24,JE,eng,894840058,1
2019,12,24,JE,eng,894844210,2
