actioncountry,year,month,day,nummentions,eventid
TU,2019,11,18,13,893725179
TU,2019,11,18,10,893725173
TU,2019,11,18,9,893754065
TU,2019,11,18,8,893725177
TU,2019,11,18,4,893709449
TU,2019,11,18,3,893762298
TU,2019,11,18,2,893792146
TU,2019,11,18,1,893815510
KE,2018,12,30,1,895740541
WE,2019,11,13,1,892771062
CU,2018,12,29,8,895606141
CU,2018,12,29,4,895634312
FR,2019,11,1,7,890041466
FR,2019,11,1,6,890041465
FR,2019,11,1,4,890059944
FR,2019,11,1,1,890141573
CF,2019,12,20,13,894107400
CF,2019,12,20,12,894266181
CF,2019,12,20,8,894316506
CF,2019,12,20,6,894237394
CF,2019,12,20,4,894322639
CF,2019,12,20,3,894183995
CF,2019,12,20,2,894240056
CF,2019,12,20,1,894317851
ET,2019,11,27,5,890767138
ET,2019,11,27,4,890834834
ET,2019,11,27,1,895376188
FI,2019,12,2,96,890189887
FI,2019,12,2,94,890162461
FI,2019,12,2,66,890346013
FI,2019,12,2,60,890484347
FI,2019,12,2,52,890206420
FI,2019,12,2,44,890245668
FI,2019,12,2,40,890204629
FI,2019,12,2,36,890265899
FI,2019,12,2,32,890265959
FI,2019,12,2,28,891775181
FI,2019,12,2,25,891821375
FI,2019,12,2,24,890265842
FI,2019,12,2,21,890190909
FI,2019,12,2,20,890320550
FI,2019,12,2,18,890159628
FI,2019,12,2,16,890312121
FI,2019,12,2,13,890185144
FI,2019,12,2,12,890325397
FI,2019,12,2,10,890198624
FI,2019,12,2,8,890336336
FI,2019,12,2,6,890346024
FI,2019,12,2,5,891824098
FI,2019,12,2,4,891835693
FI,2019,12,2,3,891864955
FI,2019,12,2,2,891785030
FI,2019,12,2,1,891846244
KV,2019,12,28,12,895494989
KV,2019,12,28,8,895504501
KV,2019,12,28,4,895658831
KV,2019,12,28,1,895502935
AV,2019,12,2,2,890292560
AV,2019,12,2,1,890317359
FK,2019,12,5,4,890922423
FK,2019,12,5,1,891007084
RM,2018,12,31,1,896008433
SW,2018,12,24,8,894869165
CD,2019,11,4,9,890841514
TU,2018,12,29,24,895591373
