sourcecommonname,theme,year,month,day,avgtone,numarticles
boisestatepublicradio.org,ACT_HARMTHREATEN,2019,12,19,-3.6625514,1
boisestatepublicradio.org,ACT_MAKESTATEMENT,2019,12,4,0.86633664,1
boisestatepublicradio.org,ACT_MAKESTATEMENT,2019,12,13,-4.9043064,1
boisestatepublicradio.org,ACT_MAKESTATEMENT,2019,12,19,-3.5497835,1
boisestatepublicradio.org,ACT_MAKESTATEMENT,2019,12,30,-7.51634,1
boisestatepublicradio.org,AFFECT,2019,12,1,-0.8130081,1
boisestatepublicradio.org,AFFECT,2019,12,3,-3.5856574,1
boisestatepublicradio.org,AFFECT,2019,12,4,0.678426,2
boisestatepublicradio.org,AFFECT,2019,12,5,-0.7915567,1
boisestatepublicradio.org,AFFECT,2019,12,6,-4.097715,1
boisestatepublicradio.org,AFFECT,2019,12,9,-3.265397,2
boisestatepublicradio.org,AFFECT,2019,12,10,-2.5264866,3
boisestatepublicradio.org,AFFECT,2019,12,16,-4.2551417,2
boisestatepublicradio.org,AFFECT,2019,12,17,-1.7199017,1
boisestatepublicradio.org,AFFECT,2019,12,18,-1.4869889,1
boisestatepublicradio.org,AFFECT,2019,12,19,-3.6061676,2
boisestatepublicradio.org,AFFECT,2019,12,20,-2.5974026,2
boisestatepublicradio.org,AFFECT,2019,12,27,-1.4529915,1
boisestatepublicradio.org,AFFECT,2019,12,30,-2.7989821,1
boisestatepublicradio.org,AGRICULTURE,2019,12,4,0.038426053,2
boisestatepublicradio.org,AGRICULTURE,2019,12,5,-0.7915567,1
boisestatepublicradio.org,AGRICULTURE,2019,12,9,2.189781,1
boisestatepublicradio.org,AGRICULTURE,2019,12,10,-0.97276264,1
boisestatepublicradio.org,AGRICULTURE,2019,12,11,3.9215686,1
boisestatepublicradio.org,AGRICULTURE,2019,12,12,2.970297,1
boisestatepublicradio.org,AGRICULTURE,2019,12,13,-1.0162005,2
boisestatepublicradio.org,AGRICULTURE,2019,12,19,0,1
boisestatepublicradio.org,AGRICULTURE,2019,12,27,-1.980198,1
boisestatepublicradio.org,ALLIANCE,2019,12,17,-0.7340063,2
boisestatepublicradio.org,APPOINTMENT,2019,12,4,1.356852,1
boisestatepublicradio.org,APPOINTMENT,2019,12,10,-6.0740743,1
boisestatepublicradio.org,APPOINTMENT,2019,12,13,-1.5516319,1
boisestatepublicradio.org,APPOINTMENT,2019,12,20,-0.35971224,1
