actor1countrycode,actor2countrycode,year,month,day,avgtone,numarticles
CUB,GHA,2019,12,10,1,1
CUB,GHA,2019,12,18,-1,1
CUB,GHA,2019,12,19,7,1
ETH,KWT,2019,12,23,0,1
ASA,CHN,2019,12,8,0,1
ASA,CHN,2019,12,11,-3,1
IRN,COD,2019,12,16,4,1
KAZ,IND,2019,12,13,1,1
KAZ,IND,2019,12,20,-6,1
AUS,LUX,2019,12,20,1,1
AUS,LUX,2019,12,22,0,1
BEL,ERI,2019,12,10,0,1
EST,IRQ,2019,12,19,-4,1
TZA,NGA,2019,12,1,1,1
TZA,NGA,2019,12,6,-2,1
TZA,NGA,2019,12,8,2,1
TZA,NGA,2019,12,9,1,1
TZA,NGA,2019,12,10,3,1
TZA,NGA,2019,12,20,3,1
SGP,TWN,2018,12,19,3,1
SGP,TWN,2019,12,1,2,2
SGP,TWN,2019,12,3,-1,1
SGP,TWN,2019,12,4,0,1
SGP,TWN,2019,12,11,4,1
SGP,TWN,2019,12,12,5,1
SGP,TWN,2019,12,15,-2,1
SGP,TWN,2019,12,16,1,1
SGP,TWN,2019,12,21,2,1
SGP,TWN,2019,12,26,-2,2
SGP,TWN,2019,12,27,-2,10
SGP,TWN,2019,12,28,-2,1
GAB,COG,2019,12,2,0,1
GAB,COG,2019,12,8,-1,1
GAB,COG,2019,12,13,3,1
GAB,COG,2019,12,18,0,1
GAB,COG,2019,12,25,-2,1
GAB,COG,2019,12,29,-2,1
GAB,COG,2019,12,30,-3,1
COL,IDN,2019,12,12,-1,12
COL,IDN,2019,12,13,3,1
COL,IDN,2019,12,15,3,1
COL,IDN,2019,12,16,-2,1
PHL,SEA,2018,12,12,-5,1
PHL,SEA,2019,12,1,-2,2
PHL,SEA,2019,12,2,0,1
PHL,SEA,2019,12,3,-5,9
PHL,SEA,2019,12,4,-6,1
PHL,SEA,2019,12,5,1,1
PHL,SEA,2019,12,6,-7,2
PHL,SEA,2019,12,8,-5,1
PHL,SEA,2019,12,9,3,2
PHL,SEA,2019,12,10,-2,1
PHL,SEA,2019,12,12,-9,1
PHL,SEA,2019,12,13,6,1
PHL,SEA,2019,12,14,1,1
PHL,SEA,2019,12,15,-3,1
PHL,SEA,2019,12,16,0,1
PHL,SEA,2019,12,17,-2,1
PHL,SEA,2019,12,18,-2,1
PHL,SEA,2019,12,19,-8,10
PHL,SEA,2019,12,20,-3,1
PHL,SEA,2019,12,21,-5,1
PHL,SEA,2019,12,22,6,1
PHL,SEA,2019,12,23,-4,2
PHL,SEA,2019,12,24,-9,1
PHL,SEA,2019,12,25,-1,1
PHL,SEA,2019,12,26,-11,1
PHL,SEA,2019,12,27,-1,1
PHL,SEA,2019,12,28,4,2
PHL,SEA,2019,12,29,3,3
PHL,SEA,2019,12,30,-2,2
PHL,SEA,2019,12,31,1,7
KGZ,BLR,2019,11,25,0,1
KGZ,BLR,2019,12,6,7,1
KGZ,BLR,2019,12,7,-1,1
KGZ,BLR,2019,12,13,-17,1
KGZ,BLR,2019,12,19,-4,1
BOL,TTO,2019,12,3,-7,1
BOL,TTO,2019,12,15,0,1
BOL,TTO,2019,12,21,5,1
IDN,THA,2019,11,18,-7,27
IDN,THA,2019,11,19,-7,2
IDN,THA,2019,11,21,0,1
IDN,THA,2019,12,1,-2,2
IDN,THA,2019,12,2,-3,1
IDN,THA,2019,12,3,-4,1
IDN,THA,2019,12,4,3,1
IDN,THA,2019,12,5,0,1
IDN,THA,2019,12,6,-3,1
IDN,THA,2019,12,8,-2,1
IDN,THA,2019,12,9,2,2
IDN,THA,2019,12,10,-4,1
IDN,THA,2019,12,11,-4,1
IDN,THA,2019,12,12,3,2
IDN,THA,2019,12,13,-1,1
IDN,THA,2019,12,15,0,1
IDN,THA,2019,12,17,0,1
IDN,THA,2019,12,18,-10,10
IDN,THA,2019,12,19,0,1
IDN,THA,2019,12,20,0,3
IDN,THA,2019,12,21,0,1
IDN,THA,2019,12,22,1,1
IDN,THA,2019,12,23,0,1
IDN,THA,2019,12,24,3,2
IDN,THA,2019,12,26,0,1
IDN,THA,2019,12,27,0,1
IDN,THA,2019,12,30,-2,2
IDN,THA,2019,12,31,2,1
CHE,GAB,2019,12,5,3,1
HTI,CZE,2019,12,19,2,2
NLD,BLR,2019,12,17,4,1
LBY,CHE,2019,12,1,0,1
LBY,CHE,2019,12,2,-2,1
LBY,CHE,2019,12,10,-3,7
LBY,CHE,2019,12,11,-3,1
LBY,CHE,2019,12,12,-3,1
LBY,CHE,2019,12,15,-6,42
LBY,CHE,2019,12,16,-7,10
LBY,CHE,2019,12,17,-5,1
LBY,CHE,2019,12,18,-6,1
LBY,CHE,2019,12,19,-6,1
LBY,CHE,2019,12,23,-5,1
LBY,CHE,2019,12,25,-2,1
LBY,CHE,2019,12,29,-2,2
COD,GAB,2019,12,10,1,1
COD,GAB,2019,12,13,0,1
COD,GAB,2019,12,21,1,1
NGA,SYR,2019,12,1,-3,1
NGA,SYR,2019,12,4,2,1
NGA,SYR,2019,12,8,-2,1
NGA,SYR,2019,12,11,-7,2
NGA,SYR,2019,12,13,-2,1
NGA,SYR,2019,12,15,-6,2
NGA,SYR,2019,12,16,-1,1
NGA,SYR,2019,12,21,-2,1
NGA,SYR,2019,12,24,-2,1
NGA,SYR,2019,12,26,-5,1
NGA,SYR,2019,12,27,-5,1
NGA,SYR,2019,12,28,-5,1
NGA,SYR,2019,12,29,-7,1
NGA,SYR,2019,12,30,-11,1
NGA,SYR,2019,12,31,-6,2
USA,TUV,2019,12,2,3,1
USA,TUV,2019,12,4,0,2
USA,TUV,2019,12,27,-1,1
NOR,MCO,2019,12,19,3,1
PAK,ISR,2019,12,2,0,1
PAK,ISR,2019,12,3,0,1
PAK,ISR,2019,12,5,0,9
PAK,ISR,2019,12,8,-2,1
PAK,ISR,2019,12,17,-10,1
PAK,ISR,2019,12,19,4,1
PAK,ISR,2019,12,23,-10,1
BHR,IRN,2019,11,11,-3,1
BHR,IRN,2019,12,1,-4,1
BHR,IRN,2019,12,2,-4,1
BHR,IRN,2019,12,7,-4,2
BHR,IRN,2019,12,10,1,1
BHR,IRN,2019,12,11,0,1
BHR,IRN,2019,12,14,-3,1
BHR,IRN,2019,12,18,-4,1
BHR,IRN,2019,12,19,-4,1
BHR,IRN,2019,12,22,-1,1
BHR,IRN,2019,12,24,-14,1
BHR,IRN,2019,12,25,-3,1
VUT,FRA,2019,12,1,0,1
SRB,DNK,2019,12,11,1,1
